Population,Murder,Rape,Robbery,Aggravated Assault,Breaking & Entering,Larceny Theft,Motor Vehicle Theft,"Violent Crime Rate per 100,000 People"
980991.0,15.0,115.0,878.0,681.0,3203.0,14046.0,1278.0,172.2
148828.0,2.0,9.0,97.0,342.0,862.0,2213.0,153.0,302.4
588594.0,334.0,324.0,3441.0,5381.0,4116.0,11423.0,3128.0,1610.6
251139.0,9.0,71.0,108.0,368.0,390.0,2299.0,143.0,221.4
102376.0,9.0,31.0,77.0,249.0,569.0,1969.0,123.0,357.5
81382.0,3.0,30.0,45.0,253.0,609.0,1656.0,78.0,406.7
17124.0,0.0,2.0,7.0,43.0,122.0,310.0,18.0,303.7
19012.0,1.0,4.0,7.0,44.0,113.0,208.0,19.0,294.6
19482.0,0.0,7.0,10.0,43.0,112.0,209.0,19.0,308.0
74325.0,0.0,23.0,27.0,275.0,488.0,1481.0,55.0,437.3
777313.0,29.0,236.0,1705.0,4589.0,5719.0,21201.0,3491.0,843.8
28177.0,3.0,6.0,10.0,46.0,205.0,328.0,34.0,230.7
169003.0,1.0,24.0,56.0,293.0,562.0,2016.0,127.0,221.3
20200.0,0.0,5.0,9.0,53.0,224.0,294.0,26.0,331.7
19061.0,3.0,2.0,7.0,31.0,139.0,169.0,17.0,225.6
72922.0,3.0,19.0,28.0,323.0,635.0,1285.0,204.0,511.5
26270.0,0.0,9.0,14.0,48.0,144.0,310.0,10.0,270.3
840833.0,135.0,287.0,4148.0,3439.0,8483.0,26952.0,17628.0,952.5
32955.0,1.0,15.0,35.0,114.0,296.0,799.0,49.0,500.7
157065.0,6.0,38.0,139.0,381.0,396.0,2018.0,167.0,359.1
19731.0,1.0,4.0,15.0,69.0,87.0,194.0,24.0,451.1
237388.0,2.0,30.0,193.0,620.0,961.0,3591.0,359.0,356.0
449440.0,11.0,132.0,692.0,1287.0,3644.0,13281.0,1806.0,472.1
219311.0,1.0,30.0,148.0,557.0,672.0,2652.0,197.0,335.6
124602.0,2.0,30.0,71.0,289.0,686.0,1956.0,164.0,314.6
122336.0,9.0,39.0,135.0,592.0,670.0,2848.0,392.0,633.5
29700.0,3.0,17.0,14.0,221.0,256.0,572.0,65.0,858.6
34850.0,2.0,4.0,11.0,122.0,296.0,551.0,40.0,398.9
168719.0,1.0,26.0,40.0,189.0,517.0,1856.0,94.0,151.7
71380.0,4.0,23.0,37.0,327.0,728.0,1332.0,182.0,547.8
90118.0,2.0,8.0,22.0,83.0,400.0,1255.0,45.0,127.6
23148.0,2.0,10.0,7.0,81.0,159.0,344.0,24.0,432.0
30820.0,0.0,15.0,32.0,154.0,305.0,873.0,74.0,652.2
117027.0,1.0,30.0,102.0,395.0,1167.0,3565.0,399.0,451.2
164663.0,0.0,47.0,48.0,320.0,456.0,1878.0,151.0,252.0
161295.0,4.0,48.0,103.0,758.0,900.0,2918.0,261.0,566.0
16680.0,0.0,2.0,6.0,43.0,166.0,370.0,22.0,305.8
99669.0,4.0,25.0,106.0,448.0,893.0,2381.0,111.0,584.9
28406.0,2.0,7.0,9.0,65.0,180.0,439.0,38.0,292.2
84644.0,4.0,35.0,132.0,601.0,877.0,2613.0,193.0,912.1
239914.0,9.0,36.0,202.0,579.0,990.0,3332.0,437.0,344.3
489656.0,11.0,117.0,646.0,2610.0,3147.0,13402.0,1398.0,691.1
827494.0,171.0,499.0,7574.0,6075.0,15463.0,32315.0,6213.0,1730.4
71806.0,1.0,17.0,34.0,188.0,517.0,1657.0,49.0,334.2
930123.0,19.0,145.0,1261.0,879.0,3932.0,17466.0,2640.0,247.7
31136.0,0.0,12.0,10.0,124.0,204.0,558.0,77.0,468.9
62626.0,4.0,22.0,8.0,203.0,338.0,932.0,52.0,378.4
913206.0,88.0,277.0,1534.0,1620.0,2951.0,14389.0,3371.0,385.3
582458.0,12.0,122.0,595.0,598.0,5932.0,17044.0,1731.0,227.8
848440.0,130.0,287.0,4094.0,3970.0,6903.0,26171.0,12944.0,999.6
512277.0,23.0,110.0,943.0,2091.0,3420.0,12217.0,1654.0,618.2
555330.0,15.0,71.0,630.0,1603.0,2522.0,11272.0,677.0,417.6
30303.0,4.0,16.0,30.0,147.0,874.0,1927.0,127.0,650.1
542753.0,15.0,91.0,597.0,1972.0,2259.0,11394.0,832.0,492.9
50510.0,0.0,8.0,8.0,78.0,57.0,267.0,19.0,186.1
29582.0,1.0,5.0,0.0,51.0,139.0,363.0,35.0,192.7
20351.0,1.0,1.0,14.0,70.0,130.0,195.0,13.0,422.6
25784.0,1.0,6.0,23.0,52.0,265.0,598.0,20.0,318.0
30737.0,0.0,8.0,23.0,167.0,329.0,834.0,47.0,644.2
30621.0,1.0,10.0,36.0,159.0,384.0,774.0,47.0,672.7
30317.0,1.0,0.0,2.0,52.0,100.0,320.0,16.0,181.4
91175.0,4.0,16.0,54.0,381.0,731.0,1777.0,200.0,499.0
35284.0,3.0,10.0,27.0,83.0,169.0,683.0,26.0,348.6
80461.0,2.0,12.0,26.0,79.0,541.0,1706.0,108.0,147.9
172300.0,2.0,29.0,47.0,315.0,567.0,2055.0,102.0,228.1
29299.0,0.0,3.0,2.0,48.0,141.0,288.0,10.0,180.9
