population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
675500,54,297,2204,1915,11939,26629,3521,1
37473,0,10,25,52,148,524,14,0
29487,0,8,4,46,142,312,9,0
127509,5,28,66,398,635,2172,200,1
987166,16,123,975,683,3486,15830,1530,0
51718,2,14,28,173,356,1705,55,1
19915,0,1,6,39,125,210,5,0
797429,228,566,10737,6258,18604,37378,5331,1
36701,1,9,14,67,236,611,43,0
999353,14,106,878,876,2685,13636,1073,0
204646,6,51,134,363,1317,3946,399,0
152067,3,24,147,414,704,2631,192,1
249745,5,47,123,517,428,2412,104,0
340345,10,77,330,619,4653,11535,1520,0
71977,0,20,35,207,536,1631,92,0
26693,0,9,10,61,189,609,34,0
912326,61,262,1163,1315,2364,13012,2910,0
19147,3,9,9,89,211,302,25,1
52215,3,12,14,125,386,702,68,0
613217,342,385,5926,5874,8056,17365,5184,1
77216,0,26,22,187,487,1557,89,0
71616,4,14,58,168,469,1724,46,0
64974,13,15,64,156,1082,2356,156,1
20037,1,1,19,45,199,237,25,0
215568,1,39,177,656,657,2861,221,1
871606,95,183,2545,2346,6985,20013,5943,1
82603,3,29,54,270,643,1794,195,1
113393,5,19,29,262,556,1705,141,0
30647,5,9,18,113,311,807,42,1
116001,4,35,136,454,761,3486,377,1
250575,7,43,165,383,633,2408,108,0
16647,2,4,1,19,140,259,21,0
27320,1,8,1,117,192,304,53,1
445772,22,141,647,1394,4029,13273,1854,1
76375,2,20,16,153,514,1505,70,0
225374,7,35,134,631,637,2964,247,0
83937,2,21,54,306,727,1964,245,1
30223,1,0,8,73,279,388,29,0
825978,141,274,4056,4007,8561,28114,16991,1
90358,3,1,19,256,312,1200,105,0
27027,0,3,13,88,205,417,32,1
54182,4,17,25,119,646,1233,71,0
71347,3,20,32,357,727,1458,216,1
927079,18,149,856,1037,3893,16083,2730,0
132818,2,27,50,178,681,2238,169,0
60692,4,19,42,145,1037,1982,127,0
32143,4,12,30,108,214,695,41,1
47016,1,15,13,132,210,685,56,0
32662,2,5,11,87,200,559,24,0
138016,5,17,88,426,699,2138,270,1
52730,1,14,13,142,297,750,47,0
726462,20,226,1878,4005,6993,23596,3367,1
1029182,18,125,661,934,2442,13542,753,0
142039,10,26,187,571,753,3171,387,1
675886,17,173,738,928,5338,18950,2640,0
167646,10,30,120,565,1419,3373,358,1
66574,4,16,44,187,800,1634,110,1
72609,2,37,129,446,1079,2498,174,1
62998,1,12,9,192,342,971,70,0
72312,1,25,38,259,606,1622,49,1
898019,56,206,1846,2020,4767,17498,4278,1
24810,1,4,1,24,189,234,23,0
48779,1,28,55,206,409,1788,80,1
581937,26,148,357,1286,1053,6937,626,0
86374,5,25,47,203,504,1575,79,0
160945,9,35,115,533,1283,3265,380,1
911524,78,278,1704,2079,3667,15149,3431,1
24223,1,13,16,80,222,311,34,1
76500,4,19,16,124,448,1439,81,0
167966,2,19,42,304,536,1641,49,0
103425,3,41,114,340,1072,3087,462,1
107983,3,22,129,451,831,3006,435,1
777463,31,210,1611,4356,5425,19401,3341,1
19610,3,10,4,79,311,287,29,1
74394,1,16,18,372,387,1487,71,1
16200,0,1,4,17,120,221,26,0
20016,1,4,2,46,178,296,33,0
152381,2,47,73,425,1314,2627,294,0
37973,2,13,31,193,459,2029,121,1
19642,1,4,8,16,63,117,6,0
38392,0,13,18,58,242,610,18,0
34308,3,11,9,129,382,660,37,1
113834,5,12,64,195,666,1738,119,0
605398,14,146,636,845,5112,15899,1601,0
25939,2,5,9,25,198,338,21,0
43096,2,13,44,217,420,1844,120,1
141882,5,33,117,587,789,2745,248,1
25793,2,7,18,109,217,459,39,1
693240,52,429,2441,3329,10028,21782,7324,1
29215,0,12,15,142,252,565,39,1
74833,2,15,13,299,450,1681,81,1
31742,3,7,35,162,131,579,65,1
79066,2,14,18,131,517,1182,88,0
36717,2,7,18,54,175,680,22,0
103829,7,24,119,490,724,3304,408,1
39408,2,11,12,82,255,660,81,0
78048,2,13,37,321,587,1444,140,1
826094,122,250,3765,3263,8209,25916,9743,1
622671,233,298,3755,4471,7440,19329,4462,1
25635,1,9,15,80,99,218,10,1
566105,25,154,558,1575,1979,10025,622,1
61713,1,13,23,236,535,1277,146,1
115420,4,15,76,345,1285,2790,181,1
634279,276,182,4085,7199,8022,21819,6731,1
92169,5,42,230,533,1070,2746,191,1
52011,1,16,31,138,432,1751,33,0
25722,0,6,21,95,202,506,29,1
