year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1975,26715,0,15,36,252,750,1422,79,2554,303,11.9,2251,88.1,9560.2,1134.2,8426.0,0.0,56.1,134.8,943.3,2807.4,5322.9,295.7
1991,434253,12,126,643,1067,4259,13702,2084,21893,1848,8.4,20045,91.6,5041.5,425.6,4616.0,2.8,29.0,148.1,245.7,980.8,3155.3,479.9
1980,96080,1,18,28,204,856,1670,101,2878,251,8.7,2627,91.3,2995.4,261.2,2734.2,1.0,18.7,29.1,212.3,890.9,1738.1,105.1
2007,932846,20,133,1189,865,3708,18181,2634,26730,2207,8.3,24523,91.7,2865.4,236.6,2628.8,2.1,14.3,127.5,92.7,397.5,1949.0,282.4
2011,33379,2,2,24,84,382,693,34,1221,112,9.2,1109,90.8,3658.0,335.5,3322.4,6.0,6.0,71.9,251.7,1144.4,2076.2,101.9
1983,148188,7,23,100,215,1067,2650,230,4292,345,8.0,3947,92.0,2896.3,232.8,2663.5,4.7,15.5,67.5,145.1,720.0,1788.3,155.2
1983,23762,0,0,3,75,181,383,14,656,78,11.9,578,88.1,2760.7,328.3,2432.5,0.0,0.0,12.6,315.6,761.7,1611.8,58.9
1990,30236,5,20,25,191,284,650,57,1232,241,19.6,991,80.4,4074.6,797.1,3277.5,16.5,66.1,82.7,631.7,939.3,2149.8,188.5
1982,662646,34,166,1242,5155,9981,24298,2941,43817,6597,15.1,37220,84.9,6612.4,995.6,5616.9,5.1,25.1,187.4,777.9,1506.2,3666.8,443.8
1993,77414,3,51,138,551,1088,2842,241,4914,743,15.1,4171,84.9,6347.7,959.8,5387.9,3.9,65.9,178.3,711.8,1405.4,3671.2,311.3
1981,16954,1,2,6,44,140,368,20,581,53,9.1,528,90.9,3426.9,312.6,3114.3,5.9,11.8,35.4,259.5,825.8,2170.6,118.0
1999,238083,6,29,240,215,1317,5261,704,7772,490,6.3,7282,93.7,3264.4,205.8,3058.6,2.5,12.2,100.8,90.3,553.2,2209.7,295.7
2001,660826,256,299,5762,8520,10960,30457,8199,64453,14837,23.0,49616,77.0,9753.4,2245.2,7508.2,38.7,45.2,871.9,1289.3,1658.5,4608.9,1240.7
2006,19954,0,2,15,59,125,249,17,467,76,16.3,391,83.7,2340.4,380.9,1959.5,0.0,10.0,75.2,295.7,626.4,1247.9,85.2
1983,27207,1,0,3,37,200,362,36,639,41,6.4,598,93.6,2348.7,150.7,2198.0,3.7,0.0,11.0,136.0,735.1,1330.5,132.3
1995,28923,0,12,10,129,187,424,42,804,151,18.8,653,81.2,2779.8,522.1,2257.7,0.0,41.5,34.6,446.0,646.5,1466.0,145.2
1989,37476,3,18,26,256,622,2153,114,3192,303,9.5,2889,90.5,8517.5,808.5,7708.9,8.0,48.0,69.4,683.1,1659.7,5745.0,304.2
1984,102737,0,27,15,202,523,1416,138,2321,244,10.5,2077,89.5,2259.2,237.5,2021.7,0.0,26.3,14.6,196.6,509.1,1378.3,134.3
2014,29897,0,6,1,61,142,298,15,523,68,13.0,455,87.0,1749.3,227.4,1521.9,0.0,20.1,3.3,204.0,475.0,996.8,50.2
1984,80835,2,15,6,67,361,1338,68,1857,90,4.8,1767,95.2,2297.3,111.3,2185.9,2.5,18.6,7.4,82.9,446.6,1655.2,84.1
2018,31832,1,5,29,123,205,604,25,992,158,15.9,834,84.1,3116.4,496.4,2620.0,3.1,15.7,91.1,386.4,644.0,1897.5,78.5
1987,44402,0,10,10,189,263,600,52,1124,209,18.6,915,81.4,2531.4,470.7,2060.7,0.0,22.5,22.5,425.7,592.3,1351.3,117.1
2015,1041345,29,275,641,1087,1946,13820,768,18566,2032,10.9,16534,89.1,1782.9,195.1,1587.8,2.8,26.4,61.6,104.4,186.9,1327.1,73.8
1977,64900,1,11,31,118,613,1330,160,2264,161,7.1,2103,92.9,3488.4,248.1,3240.4,1.5,16.9,47.8,181.8,944.5,2049.3,246.5
2010,527278,18,113,661,2137,2860,11732,1236,18757,2929,15.6,15828,84.4,3557.3,555.5,3001.8,3.4,21.4,125.4,405.3,542.4,2225.0,234.4
1996,110733,11,42,116,477,838,3140,420,5044,646,12.8,4398,87.2,4555.1,583.4,3971.7,9.9,37.9,104.8,430.8,756.8,2835.6,379.3
1997,29885,0,13,3,55,160,367,26,624,71,11.4,553,88.6,2088.0,237.6,1850.4,0.0,43.5,10.0,184.0,535.4,1228.0,87.0
2012,248869,3,54,156,484,1019,2806,206,4728,697,14.7,4031,85.3,1899.8,280.1,1619.7,1.2,21.7,62.7,194.5,409.5,1127.5,82.8
2002,47963,2,18,78,379,310,1819,93,2699,477,17.7,2222,82.3,5627.3,994.5,4632.7,4.2,37.5,162.6,790.2,646.3,3792.5,193.9
2001,133882,3,28,89,399,714,2156,268,3657,519,14.2,3138,85.8,2731.5,387.7,2343.9,2.2,20.9,66.5,298.0,533.3,1610.4,200.2
1984,23833,1,7,10,60,145,260,22,505,78,15.4,427,84.6,2118.9,327.3,1791.6,4.2,29.4,42.0,251.8,608.4,1090.9,92.3
2020,164609,16,47,96,381,257,1669,203,2669,540,20.2,2129,79.8,1621.4,328.1,1293.4,9.7,28.6,58.3,231.5,156.1,1013.9,123.3
2002,76838,0,23,17,331,292,853,82,1598,371,23.2,1227,76.8,2079.7,482.8,1596.9,0.0,29.9,22.1,430.8,380.0,1110.1,106.7
2005,26060,1,3,28,92,222,500,27,873,124,14.2,749,85.8,3350.0,475.8,2874.1,3.8,11.5,107.4,353.0,851.9,1918.6,103.6
1985,630126,12,127,728,892,5430,17007,1986,26182,1759,6.7,24423,93.3,4155.0,279.2,3875.9,1.9,20.2,115.5,141.6,861.7,2699.0,315.2
1998,214271,9,24,147,358,936,3668,403,5545,538,9.7,5007,90.3,2587.8,251.1,2336.8,4.2,11.2,68.6,167.1,436.8,1711.9,188.1
2018,91132,1,15,19,76,148,726,48,1033,111,10.7,922,89.3,1133.5,121.8,1011.7,1.1,16.5,20.8,83.4,162.4,796.6,52.7
1981,66040,7,18,54,186,1067,2195,131,3658,265,7.2,3393,92.8,5539.1,401.3,5137.8,10.6,27.3,81.8,281.6,1615.7,3323.7,198.4
1997,216723,1,33,222,298,1497,6479,753,9283,554,6.0,8729,94.0,4283.3,255.6,4027.7,0.5,15.2,102.4,137.5,690.7,2989.5,347.4
2001,198177,1,49,134,787,698,3691,255,5615,971,17.3,4644,82.7,2833.3,490.0,2343.4,0.5,24.7,67.6,397.1,352.2,1862.5,128.7
2002,34844,1,8,13,65,153,642,15,897,87,9.7,810,90.3,2574.3,249.7,2324.6,2.9,23.0,37.3,186.5,439.1,1842.5,43.0
2014,828871,25,100,1512,2405,3493,17584,1499,26618,4042,15.2,22576,84.8,3211.4,487.7,2723.7,3.0,12.1,182.4,290.2,421.4,2121.4,180.8
1983,31109,6,28,18,134,672,1604,124,2586,186,7.2,2400,92.8,8312.7,597.9,7714.8,19.3,90.0,57.9,430.7,2160.1,5156.1,398.6
2007,29619,0,6,2,56,161,359,26,610,64,10.5,546,89.5,2059.5,216.1,1843.4,0.0,20.3,6.8,189.1,543.6,1212.1,87.8
2018,605436,309,367,5130,5415,6074,17102,4389,38786,11221,28.9,27565,71.1,6406.3,1853.4,4552.9,51.0,60.6,847.3,894.4,1003.2,2824.7,724.9
2011,247147,5,39,148,451,779,2965,207,4594,643,14.0,3951,86.0,1858.8,260.2,1598.6,2.0,15.8,59.9,182.5,315.2,1199.7,83.8
2010,32376,1,9,54,124,242,720,38,1188,188,15.8,1000,84.2,3669.4,580.7,3088.7,3.1,27.8,166.8,383.0,747.5,2223.9,117.4
2000,40563,2,8,15,88,269,587,55,1024,113,11.0,911,89.0,2524.5,278.6,2245.9,4.9,19.7,37.0,216.9,663.2,1447.1,135.6
2017,51408,2,26,43,106,220,1514,39,1950,177,9.1,1773,90.9,3793.2,344.3,3448.9,3.9,50.6,83.6,206.2,427.9,2945.1,75.9
1982,81858,1,18,18,80,447,1570,55,2189,117,5.3,2072,94.7,2674.1,142.9,2531.2,1.2,22.0,22.0,97.7,546.1,1918.0,67.2
1997,30952,1,20,27,169,247,930,66,1460,217,14.9,1243,85.1,4717.0,701.1,4015.9,3.2,64.6,87.2,546.0,798.0,3004.7,213.2
1992,710514,43,303,2307,5090,8322,25586,5619,47270,7743,16.4,39527,83.6,6652.9,1089.8,5563.2,6.1,42.6,324.7,716.4,1171.3,3601.1,790.8
1992,777056,21,189,993,1296,4971,22821,3134,33425,2499,7.5,30926,92.5,4301.5,321.6,3979.9,2.7,24.3,127.8,166.8,639.7,2936.9,403.3
2010,102940,6,39,152,476,967,2263,195,4098,673,16.4,3425,83.6,3981.0,653.8,3327.2,5.8,37.9,147.7,462.4,939.4,2198.4,189.4
1975,16640,0,1,6,42,226,314,21,610,49,8.0,561,92.0,3665.9,294.5,3371.4,0.0,6.0,36.1,252.4,1358.2,1887.0,126.2
2014,91047,0,1,30,100,347,1144,43,1665,131,7.9,1534,92.1,1828.7,143.9,1684.8,0.0,1.1,33.0,109.8,381.1,1256.5,47.2
1982,61157,1,12,25,212,603,1386,134,2373,250,10.5,2123,89.5,3880.2,408.8,3471.4,1.6,19.6,40.9,346.6,986.0,2266.3,219.1
2016,249859,9,42,121,380,569,2813,90,4024,552,13.7,3472,86.3,1610.5,220.9,1389.6,3.6,16.8,48.4,152.1,227.7,1125.8,36.0
2011,30382,2,5,3,60,190,339,22,621,70,11.3,551,88.7,2044.0,230.4,1813.6,6.6,16.5,9.9,197.5,625.4,1115.8,72.4
1983,26174,3,1,13,50,211,556,36,870,67,7.7,803,92.3,3323.9,256.0,3067.9,11.5,3.8,49.7,191.0,806.1,2124.2,137.5
1977,140650,2,43,115,388,1575,3427,241,5791,548,9.5,5243,90.5,4117.3,389.6,3727.7,1.4,30.6,81.8,275.9,1119.8,2436.5,171.3
2013,20232,0,0,22,42,100,227,10,401,64,16.0,337,84.0,1982.0,316.3,1665.7,0.0,0.0,108.7,207.6,494.3,1122.0,49.4
1985,682233,47,366,2567,2944,10156,20854,5920,42854,5924,13.8,36930,86.2,6281.4,868.3,5413.1,6.9,53.6,376.3,431.5,1488.6,3056.7,867.7
1991,23824,1,12,8,108,262,426,35,852,129,15.1,723,84.9,3576.2,541.5,3034.8,4.2,50.4,33.6,453.3,1099.7,1788.1,146.9
1998,129186,3,26,117,356,660,1947,256,3365,502,14.9,2863,85.1,2604.8,388.6,2216.2,2.3,20.1,90.6,275.6,510.9,1507.1,198.2
1981,583513,13,167,955,733,7135,19958,2000,30961,1868,6.0,29093,94.0,5306.0,320.1,4985.8,2.2,28.6,163.7,125.6,1222.8,3420.3,342.8
1982,30829,3,19,32,111,778,1751,107,2801,165,5.9,2636,94.1,9085.6,535.2,8550.4,9.7,61.6,103.8,360.1,2523.6,5679.7,347.1
1988,702535,19,184,812,973,5529,19887,3218,30622,1988,6.5,28634,93.5,4358.8,283.0,4075.8,2.7,26.2,115.6,138.5,787.0,2830.7,458.1
1980,144340,3,26,109,336,1989,3374,282,6119,474,7.7,5645,92.3,4239.3,328.4,3910.9,2.1,18.0,75.5,232.8,1378.0,2337.5,195.4
1986,27524,0,7,14,80,273,648,41,1063,101,9.5,962,90.5,3862.1,367.0,3495.1,0.0,25.4,50.9,290.7,991.9,2354.3,149.0
2013,101431,3,38,142,321,837,2420,111,3872,504,13.0,3368,87.0,3817.4,496.9,3320.5,3.0,37.5,140.0,316.5,825.2,2385.9,109.4
2001,31130,2,8,22,173,224,736,58,1223,205,16.8,1018,83.2,3928.7,658.5,3270.2,6.4,25.7,70.7,555.7,719.6,2364.3,186.3
2014,101594,2,31,101,319,673,2662,96,3884,453,11.7,3431,88.3,3823.1,445.9,3377.2,2.0,30.5,99.4,314.0,662.4,2620.2,94.5
1993,23785,0,11,19,107,267,533,33,970,137,14.1,833,85.9,4078.2,576.0,3502.2,0.0,46.2,79.9,449.9,1122.6,2240.9,138.7
1993,35500,1,6,11,98,270,629,59,1074,116,10.8,958,89.2,3025.4,326.8,2698.6,2.8,16.9,31.0,276.1,760.6,1771.8,166.2
2000,754292,33,240,1587,4340,5586,21270,3418,36474,6200,17.0,30274,83.0,4835.5,822.0,4013.6,4.4,31.8,210.4,575.4,740.6,2819.9,453.1
2019,91927,0,18,19,96,122,678,40,973,133,13.7,840,86.3,1058.4,144.7,913.8,0.0,19.6,20.7,104.4,132.7,737.5,43.5
1978,22394,1,5,11,46,205,327,30,625,63,10.1,562,89.9,2790.9,281.3,2509.6,4.5,22.3,49.1,205.4,915.4,1460.2,134.0
2019,25452,1,6,14,47,91,224,4,387,68,17.6,319,82.4,1520.5,267.2,1253.3,3.9,23.6,55.0,184.7,357.5,880.1,15.7
2003,81659,3,9,16,292,336,982,83,1721,320,18.6,1401,81.4,2107.5,391.9,1715.7,3.7,11.0,19.6,357.6,411.5,1202.6,101.6
2015,111234,2,20,51,224,545,1673,69,2584,297,11.5,2287,88.5,2323.0,267.0,2056.0,1.8,18.0,45.8,201.4,490.0,1504.0,62.0
2008,511145,18,109,810,1994,3419,14302,1581,22233,2931,13.2,19302,86.8,4349.6,573.4,3776.2,3.5,21.3,158.5,390.1,668.9,2798.0,309.3
1985,679708,24,183,1092,5592,8617,21289,3064,39861,6891,17.3,32970,82.7,5864.4,1013.8,4850.6,3.5,26.9,160.7,822.7,1267.8,3132.1,450.8
2001,153138,0,33,52,268,620,2020,149,3142,353,11.2,2789,88.8,2051.7,230.5,1821.2,0.0,21.5,34.0,175.0,404.9,1319.1,97.3
1999,783389,95,265,2474,3827,7985,25755,8619,49020,6661,13.6,42359,86.4,6257.4,850.3,5407.1,12.1,33.8,315.8,488.5,1019.3,3287.6,1100.2
2003,135495,1,23,107,360,683,2091,273,3538,491,13.9,3047,86.1,2611.2,362.4,2248.8,0.7,17.0,79.0,265.7,504.1,1543.2,201.5
1976,685948,38,308,2205,1962,11448,27030,4172,47163,4513,9.6,42650,90.4,6875.6,657.9,6217.7,5.5,44.9,321.5,286.0,1668.9,3940.5,608.2
2002,899994,32,145,977,950,3996,19733,3958,29791,2104,7.1,27687,92.9,3310.1,233.8,3076.4,3.6,16.1,108.6,105.6,444.0,2192.6,439.8
2020,69699,1,19,42,169,313,926,59,1529,231,15.1,1298,84.9,2193.7,331.4,1862.3,1.4,27.3,60.3,242.5,449.1,1328.6,84.6
1977,111000,2,12,87,221,1025,2088,122,3557,322,9.1,3235,90.9,3204.5,290.1,2914.4,1.8,10.8,78.4,199.1,923.4,1881.1,109.9
2016,618385,318,299,5288,5210,7399,17278,5336,41128,11115,27.0,30013,73.0,6650.9,1797.4,4853.4,51.4,48.4,855.1,842.5,1196.5,2794.1,862.9
1996,18931,0,1,4,53,108,230,8,404,58,14.4,346,85.6,2134.1,306.4,1827.7,0.0,5.3,21.1,280.0,570.5,1214.9,42.3
1984,681610,42,397,2400,2576,9784,19705,4574,39478,5415,13.7,34063,86.3,5791.9,794.4,4997.4,6.2,58.2,352.1,377.9,1435.4,2890.9,671.1
1976,97877,3,42,80,272,1037,3282,385,5101,397,7.8,4704,92.2,5211.6,405.6,4806.0,3.1,42.9,81.7,277.9,1059.5,3353.2,393.4
2010,173047,4,36,40,269,523,2085,104,3061,349,11.4,2712,88.6,1768.9,201.7,1567.2,2.3,20.8,23.1,155.4,302.2,1204.9,60.1
2015,156234,3,23,120,435,539,2200,207,3527,581,16.5,2946,83.5,2257.5,371.9,1885.6,1.9,14.7,76.8,278.4,345.0,1408.1,132.5
1993,37667,1,21,28,212,443,1921,98,2724,262,9.6,2462,90.4,7231.8,695.6,6536.2,2.7,55.8,74.3,562.8,1176.1,5100.0,260.2
1978,109397,2,17,82,291,918,2027,127,3464,392,11.3,3072,88.7,3166.4,358.3,2808.1,1.8,15.5,75.0,266.0,839.1,1852.9,116.1
2008,19936,1,7,19,86,158,234,25,530,113,21.3,417,78.7,2658.5,566.8,2091.7,5.0,35.1,95.3,431.4,792.5,1173.8,125.4
1994,31790,1,16,15,122,285,734,54,1227,154,12.6,1073,87.4,3859.7,484.4,3375.3,3.1,50.3,47.2,383.8,896.5,2308.9,169.9
1987,115933,1,18,111,220,850,1868,177,3245,350,10.8,2895,89.2,2799.0,301.9,2497.1,0.9,15.5,95.7,189.8,733.2,1611.3,152.7
1979,109767,7,22,70,348,889,2075,141,3552,447,12.6,3105,87.4,3235.9,407.2,2828.7,6.4,20.0,63.8,317.0,809.9,1890.4,128.5
1975,79655,3,5,20,114,669,1425,93,2329,142,6.1,2187,93.9,2923.9,178.3,2745.6,3.8,6.3,25.1,143.1,839.9,1789.0,116.8
1983,31361,2,7,19,126,265,739,29,1187,154,13.0,1033,87.0,3785.0,491.1,3293.9,6.4,22.3,60.6,401.8,845.0,2356.4,92.5
2013,102068,5,26,86,319,806,1958,111,3311,436,13.2,2875,86.8,3243.9,427.2,2816.7,4.9,25.5,84.3,312.5,789.7,1918.3,108.8
1989,96281,9,27,103,472,710,2488,447,4256,611,14.4,3645,85.6,4420.4,634.6,3785.8,9.3,28.0,107.0,490.2,737.4,2584.1,464.3
2015,167468,0,33,48,150,414,1578,52,2275,231,10.2,2044,89.8,1358.5,137.9,1220.5,0.0,19.7,28.7,89.6,247.2,942.3,31.1
1980,25496,4,6,10,65,250,601,39,975,85,8.7,890,91.3,3824.1,333.4,3490.7,15.7,23.5,39.2,254.9,980.5,2357.2,153.0
1990,150208,5,35,124,732,894,3160,248,5198,896,17.2,4302,82.8,3460.5,596.5,2864.0,3.3,23.3,82.6,487.3,595.2,2103.7,165.1
1992,24057,1,11,13,155,259,465,44,948,180,19.0,768,81.0,3940.6,748.2,3192.4,4.2,45.7,54.0,644.3,1076.6,1932.9,182.9
2019,36673,1,13,11,52,73,382,9,541,77,14.2,464,85.8,1475.2,210.0,1265.2,2.7,35.4,30.0,141.8,199.1,1041.6,24.5
1998,29749,0,8,1,23,181,363,25,601,32,5.3,569,94.7,2020.2,107.6,1912.7,0.0,26.9,3.4,77.3,608.4,1220.2,84.0
2011,289807,6,33,215,354,1110,5094,374,7186,608,8.5,6578,91.5,2479.6,209.8,2269.8,2.1,11.4,74.2,122.2,383.0,1757.7,129.1
1981,30800,3,18,34,136,928,1821,126,3066,191,6.2,2875,93.8,9954.5,620.1,9334.4,9.7,58.4,110.4,441.6,3013.0,5912.3,409.1
1977,643363,26,169,751,3229,8868,22326,2892,38261,4175,10.9,34086,89.1,5947.0,648.9,5298.1,4.0,26.3,116.7,501.9,1378.4,3470.2,449.5
2009,792855,32,154,1471,2898,4316,19536,2443,30850,4555,14.8,26295,85.2,3891.0,574.5,3316.5,4.0,19.4,185.5,365.5,544.4,2464.0,308.1
2011,32927,1,10,21,110,271,825,48,1286,142,11.0,1144,89.0,3905.6,431.3,3474.4,3.0,30.4,63.8,334.1,823.0,2505.5,145.8
2008,634549,234,137,4058,5703,7880,17635,5518,41165,10132,24.6,31033,75.4,6487.3,1596.7,4890.6,36.9,21.6,639.5,898.7,1241.8,2779.1,869.6
2010,29696,1,2,2,44,158,299,26,532,49,9.2,483,90.8,1791.5,165.0,1626.5,3.4,6.7,6.7,148.2,532.1,1006.9,87.6
1984,151550,2,22,77,312,1155,2605,236,4409,413,9.4,3996,90.6,2909.3,272.5,2636.8,1.3,14.5,50.8,205.9,762.1,1718.9,155.7
1991,18134,0,5,5,49,135,270,14,478,59,12.3,419,87.7,2635.9,325.4,2310.6,0.0,27.6,27.6,270.2,744.5,1488.9,77.2
2010,95757,10,32,183,505,1124,2604,139,4597,730,15.9,3867,84.1,4800.7,762.3,4038.3,10.4,33.4,191.1,527.4,1173.8,2719.4,145.2
2019,577904,20,159,438,1220,1143,8742,659,12381,1837,14.8,10544,85.2,2142.4,317.9,1824.5,3.5,27.5,75.8,211.1,197.8,1512.7,114.0
1986,34294,5,22,34,191,818,2344,108,3522,252,7.2,3270,92.8,10270.0,734.8,9535.2,14.6,64.2,99.1,556.9,2385.3,6835.0,314.9
2018,829560,28,352,1337,3135,2612,16882,1847,26193,4852,18.5,21341,81.5,3157.5,584.9,2572.6,3.4,42.4,161.2,377.9,314.9,2035.1,222.6
2016,102033,3,25,70,275,526,1927,153,2979,373,12.5,2606,87.5,2919.6,365.6,2554.1,2.9,24.5,68.6,269.5,515.5,1888.6,150.0
1981,146708,6,32,138,307,1837,3326,241,5887,483,8.2,5404,91.8,4012.7,329.2,3683.5,4.1,21.8,94.1,209.3,1252.1,2267.1,164.3
2019,33170,1,6,14,24,111,369,18,543,45,8.3,498,91.7,1637.0,135.7,1501.4,3.0,18.1,42.2,72.4,334.6,1112.5,54.3
1981,19353,4,3,2,44,266,347,31,697,53,7.6,644,92.4,3601.5,273.9,3327.6,20.7,15.5,10.3,227.4,1374.5,1793.0,160.2
1996,29092,2,11,10,138,207,606,48,1022,161,15.8,861,84.2,3513.0,553.4,2959.6,6.9,37.8,34.4,474.4,711.5,2083.0,165.0
1998,473811,7,117,631,1813,3525,13432,1529,21054,2568,12.2,18486,87.8,4443.5,542.0,3901.6,1.5,24.7,133.2,382.6,744.0,2834.9,322.7
1990,123372,1,32,23,147,645,1941,137,2926,203,6.9,2723,93.1,2371.7,164.5,2207.1,0.8,25.9,18.6,119.2,522.8,1573.3,111.0
2014,623513,211,245,3740,4236,6966,18419,4504,38321,8432,22.0,29889,78.0,6146.0,1352.3,4793.6,33.8,39.3,599.8,679.4,1117.2,2954.1,722.4
1999,150771,2,33,56,190,676,2251,165,3373,281,8.3,3092,91.7,2237.2,186.4,2050.8,1.3,21.9,37.1,126.0,448.4,1493.0,109.4
1989,173062,11,38,105,416,1422,3225,317,5534,570,10.3,4964,89.7,3197.7,329.4,2868.3,6.4,22.0,60.7,240.4,821.7,1863.5,183.2
1979,56486,2,9,28,261,645,1283,175,2403,300,12.5,2103,87.5,4254.2,531.1,3723.0,3.5,15.9,49.6,462.1,1141.9,2271.4,309.8
1994,23980,1,13,16,78,260,552,29,949,108,11.4,841,88.6,3957.5,450.4,3507.1,4.2,54.2,66.7,325.3,1084.2,2301.9,120.9
1981,662025,32,192,1401,4580,11964,25811,3203,47183,6205,13.2,40978,86.8,7127.1,937.3,6189.8,4.8,29.0,211.6,691.8,1807.2,3898.8,483.8
2014,243718,4,41,113,448,625,3025,83,4339,606,14.0,3733,86.0,1780.3,248.6,1531.7,1.6,16.8,46.4,183.8,256.4,1241.2,34.1
2005,95644,1,24,45,290,415,1401,142,2318,360,15.5,1958,84.5,2423.6,376.4,2047.2,1.0,25.1,47.0,303.2,433.9,1464.8,148.5
2011,51942,1,7,28,212,423,1852,41,2564,248,9.7,2316,90.3,4936.3,477.5,4458.8,1.9,13.5,53.9,408.1,814.4,3565.5,78.9
2010,232717,3,34,205,486,692,3100,178,4698,728,15.5,3970,84.5,2018.8,312.8,1705.9,1.3,14.6,88.1,208.8,297.4,1332.1,76.5
1991,72516,2,9,27,356,757,1651,191,2993,394,13.2,2599,86.8,4127.4,543.3,3584.0,2.8,12.4,37.2,490.9,1043.9,2276.7,263.4
1996,36544,1,3,8,49,215,643,57,976,61,6.3,915,93.8,2670.8,166.9,2503.8,2.7,8.2,21.9,134.1,588.3,1759.5,156.0
2001,765496,31,237,1728,4576,6246,21529,3297,37644,6572,17.5,31072,82.5,4917.6,858.5,4059.1,4.0,31.0,225.7,597.8,815.9,2812.4,430.7
2003,74893,1,22,31,208,555,1631,93,2541,262,10.3,2279,89.7,3392.8,349.8,3043.0,1.3,29.4,41.4,277.7,741.1,2177.8,124.2
1985,27164,2,4,2,30,197,236,24,495,38,7.7,457,92.3,1822.3,139.9,1682.4,7.4,14.7,7.4,110.4,725.2,868.8,88.4
1984,36985,2,7,6,172,247,500,30,964,187,19.4,777,80.6,2606.5,505.6,2100.9,5.4,18.9,16.2,465.1,667.8,1351.9,81.1
1977,575310,15,120,520,462,5766,16184,1739,24806,1117,4.5,23689,95.5,4311.8,194.2,4117.6,2.6,20.9,90.4,80.3,1002.2,2813.1,302.3
2006,788266,35,143,2090,3445,4812,18357,3463,32345,5713,17.7,26632,82.3,4103.3,724.8,3378.6,4.4,18.1,265.1,437.0,610.5,2328.8,439.3
1975,95370,6,40,114,267,1343,3161,440,5371,427,8.0,4944,92.0,5631.8,447.7,5184.0,6.3,41.9,119.5,280.0,1408.2,3314.5,461.4
2010,797794,20,126,1341,2862,4119,18129,1880,28477,4349,15.3,24128,84.7,3569.5,545.1,3024.3,2.5,15.8,168.1,358.7,516.3,2272.4,235.6
1987,26926,1,6,5,89,216,293,38,648,101,15.6,547,84.4,2406.6,375.1,2031.5,3.7,22.3,18.6,330.5,802.2,1088.2,141.1
1999,24470,0,14,11,115,210,443,36,829,140,16.9,689,83.1,3387.8,572.1,2815.7,0.0,57.2,45.0,470.0,858.2,1810.4,147.1
2014,250706,6,64,165,376,674,2875,106,4266,611,14.3,3655,85.7,1701.6,243.7,1457.9,2.4,25.5,65.8,150.0,268.8,1146.8,42.3
2006,221305,9,35,181,527,872,2882,224,4730,752,15.9,3978,84.1,2137.3,339.8,1797.5,4.1,15.8,81.8,238.1,394.0,1302.3,101.2
2002,504601,17,94,754,2742,3191,13501,1484,21783,3607,16.6,18176,83.4,4316.9,714.8,3602.1,3.4,18.6,149.4,543.4,632.4,2675.6,294.1
2020,114031,7,24,38,146,249,1194,86,1744,215,12.3,1529,87.7,1529.4,188.5,1340.9,6.1,21.0,33.3,128.0,218.4,1047.1,75.4
1979,22534,3,3,6,103,176,349,43,683,115,16.8,568,83.2,3031.0,510.3,2520.6,13.3,13.3,26.6,457.1,781.0,1548.8,190.8
2005,87133,2,15,26,188,343,1188,86,1848,231,12.5,1617,87.5,2120.9,265.1,1855.8,2.3,17.2,29.8,215.8,393.7,1363.4,98.7
1985,27972,1,10,5,117,198,458,40,829,133,16.0,696,84.0,2963.7,475.5,2488.2,3.6,35.8,17.9,418.3,707.9,1637.4,143.0
2015,621252,344,287,4378,4671,7803,18100,5541,41124,9680,23.5,31444,76.5,6619.5,1558.1,5061.4,55.4,46.2,704.7,751.9,1256.0,2913.5,891.9
1992,192284,6,43,135,404,1673,5545,935,8741,588,6.7,8153,93.3,4545.9,305.8,4240.1,3.1,22.4,70.2,210.1,870.1,2883.8,486.3
1980,25520,0,6,16,54,277,432,43,828,76,9.2,752,90.8,3244.5,297.8,2946.7,0.0,23.5,62.7,211.6,1085.4,1692.8,168.5
1976,26491,2,6,6,34,260,416,22,746,48,6.4,698,93.6,2816.1,181.2,2634.9,7.5,22.6,22.6,128.3,981.5,1570.3,83.0
2018,70577,2,20,42,189,404,1182,57,1896,253,13.3,1643,86.7,2686.4,358.5,2328.0,2.8,28.3,59.5,267.8,572.4,1674.8,80.8
1991,748099,304,702,10793,7295,16394,40406,10618,86512,19094,22.1,67418,77.9,11564.2,2552.3,9011.9,40.6,93.8,1442.7,975.1,2191.4,5401.2,1419.3
1996,813307,13,160,1038,1075,4670,24449,3329,34734,2286,6.6,32448,93.4,4270.7,281.1,3989.6,1.6,19.7,127.6,132.2,574.2,3006.1,409.3
2009,49804,0,8,42,221,439,1789,71,2570,271,10.5,2299,89.5,5160.2,544.1,4616.1,0.0,16.1,84.3,443.7,881.5,3592.1,142.6
1975,55035,3,11,23,78,548,969,82,1714,115,6.7,1599,93.3,3114.4,209.0,2905.4,5.5,20.0,41.8,141.7,995.7,1760.7,149.0
1998,184690,1,48,96,528,829,3013,213,4728,673,14.2,4055,85.8,2560.0,364.4,2195.6,0.5,26.0,52.0,285.9,448.9,1631.4,115.3
