year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1987,90430,4,33,53,401,821,2207,282,3801,491,12.9,3310,87.1,4203.3,543.0,3660.3,4.4,36.5,58.6,443.4,907.9,2440.6,311.8
2004,84860,1,10,13,204,289,954,74,1545,228,14.8,1317,85.2,1820.6,268.7,1552.0,1.2,11.8,15.3,240.4,340.6,1124.2,87.2
2003,644554,270,208,4364,6385,7855,23307,6874,49263,11227,22.8,38036,77.2,7643.0,1741.8,5901.1,41.9,32.3,677.1,990.6,1218.7,3616.0,1066.5
1981,60780,0,7,19,145,603,1235,77,2086,171,8.2,1915,91.8,3432.1,281.3,3150.7,0.0,11.5,31.3,238.6,992.1,2031.9,126.7
1975,129059,6,29,150,315,1402,3439,255,5596,500,8.9,5096,91.1,4336.0,387.4,3948.6,4.6,22.5,116.2,244.1,1086.3,2664.7,197.6
2001,496929,11,119,736,2932,3206,13747,1258,22009,3798,17.3,18211,82.7,4429.0,764.3,3664.7,2.2,23.9,148.1,590.0,645.2,2766.4,253.2
2005,268769,4,42,263,306,1225,5409,544,7793,615,7.9,7178,92.1,2899.5,228.8,2670.7,1.5,15.6,97.9,113.9,455.8,2012.5,202.4
2005,96254,4,11,79,380,836,1820,278,3408,474,13.9,2934,86.1,3540.6,492.4,3048.2,4.2,11.4,82.1,394.8,868.5,1890.8,288.8
1976,23660,0,1,2,30,165,282,13,493,33,6.7,460,93.3,2083.7,139.5,1944.2,0.0,4.2,8.5,126.8,697.4,1191.9,54.9
1996,24036,1,8,18,106,224,515,25,897,133,14.8,764,85.2,3731.9,553.3,3178.6,4.2,33.3,74.9,441.0,931.9,2142.6,104.0
2003,262537,7,46,225,271,1158,5148,682,7537,549,7.3,6988,92.7,2870.8,209.1,2661.7,2.7,17.5,85.7,103.2,441.1,1960.9,259.8
2003,30734,2,12,23,113,197,758,74,1179,150,12.7,1029,87.3,3836.1,488.1,3348.1,6.5,39.0,74.8,367.7,641.0,2466.3,240.8
2005,167424,2,29,36,333,522,2085,170,3177,400,12.6,2777,87.4,1897.6,238.9,1658.7,1.2,17.3,21.5,198.9,311.8,1245.3,101.5
2004,93573,2,18,60,351,753,1940,264,3388,431,12.7,2957,87.3,3620.7,460.6,3160.1,2.1,19.2,64.1,375.1,804.7,2073.2,282.1
2013,888070,56,176,2012,2246,5733,18542,4293,33058,4490,13.6,28568,86.4,3722.5,505.6,3216.9,6.3,19.8,226.6,252.9,645.6,2087.9,483.4
1992,28881,0,5,3,83,158,359,25,633,91,14.4,542,85.6,2191.8,315.1,1876.7,0.0,17.3,10.4,287.4,547.1,1243.0,86.6
1980,574093,17,151,852,553,8348,19615,1938,31474,1573,5.0,29901,95.0,5482.4,274.0,5208.4,3.0,26.3,148.4,96.3,1454.1,3416.7,337.6
1985,33728,3,18,33,187,681,2041,115,3078,241,7.8,2837,92.2,9125.9,714.5,8411.4,8.9,53.4,97.8,554.4,2019.1,6051.4,341.0
2001,221837,2,31,191,453,1274,4005,414,6370,677,10.6,5693,89.4,2871.5,305.2,2566.3,0.9,14.0,86.1,204.2,574.3,1805.4,186.6
2007,171843,1,31,38,289,611,2007,133,3110,359,11.5,2751,88.5,1809.8,208.9,1600.9,0.6,18.0,22.1,168.2,355.6,1167.9,77.4
1992,154180,3,57,107,679,940,3206,241,5233,846,16.2,4387,83.8,3394.1,548.7,2845.4,1.9,37.0,69.4,440.4,609.7,2079.4,156.3
