Population,"Violent Crime Rate per 100,000 People"
17127,338.6
331390,608.6
88574,469.7
40299,570.7
771097,2016.6
131923,332.8
34314,206.9
111930,202.8
60837,241.6
33080,371.8
27845,847.5
30885,443.6
43233,384.0
53509,186.9
160504,251.7
76343,466.3
148210,300.9
168903,181.2
690668,1001.1
624237,1638.6
31048,450.9
113100,235.2
18820,451.6
361749,311.3
98064,499.7
26703,745.2
639872,820.3
125217,493.5
16877,266.6
139202,523.7
748546,1107.3
167742,147.8
75891,441.4
19664,396.7
37221,223.0
32243,589.3
144219,350.9
154633,353.1
29991,210.1
36063,310.6
36983,294.7
73834,337.2
817761,511.3
27035,218.2
126701,289.7
36329,220.2
87492,368.0
102475,486.9
703563,1090.7
313717,230.5
18550,458.2
107514,308.8
255406,185.2
19592,209.3
59799,316.1
186946,322.6
75974,591.0
76925,470.6
639927,1461.4
53726,431.8
29772,728.9
25963,369.8
49082,880.2
34871,404.3
662253,2432.3
39694,864.1
57261,267.2
121601,329.8
834727,606.5
150897,287.0
99909,327.3
24747,501.1
26226,270.7
48932,237.1
32500,350.8
27553,359.3
67202,422.6
71622,342.1
152673,520.1
717879,1011.3
77221,542.6
787558,626.1
76175,417.5
26502,158.5
347538,341.3
34904,406.8
145781,303.2
27369,197.3
51304,241.7
48773,223.5
172506,429.0
97748,263.9
25916,490.0
23836,293.7
90403,154.9
76043,420.8
27637,513.8
30134,627.2
35600,862.4
102783,313.3
92622,151.2
75413,355.4
19197,302.1
702944,982.9
50047,801.2
73530,421.6
122120,446.3
49347,857.2
19116,141.2
150927,316.0
19970,580.9
25481,451.3
39686,463.6
89458,1031.8
73125,970.9
252641,211.0
48884,711.9
128265,335.2
225262,373.3
724348,1012.4
20388,318.8
87121,829.9
727051,838.9
757027,290.3
60281,270.4
700068,1043.9
48088,243.3
26593,282.0
90882,353.2
739180,2842.5
91587,116.8
48839,237.5
783542,1949.7
31079,527.7
30549,553.2
81735,414.8
243988,362.3
27063,447.1
19795,394.0
671028,2065.9
376525,362.8
692703,951.8
145349,490.5
51606,251.9
69972,354.4
17266,272.2
149938,258.8
106148,255.3
82605,147.7
38020,265.6
75799,331.1
32578,460.4
16970,271.1
29765,678.6
155503,251.4
80410,445.2
199021,291.9
247842,203.0
23895,355.7
52191,448.4
24139,517.8
32693,376.2
153629,279.9
138238,261.9
28900,1041.5
681068,830.0
31533,577.2
914736,322.4
322066,240.6
87228,908.0
28898,273.4
32432,407.0
211070,398.0
48821,190.5
808499,311.8
671586,921.8
668705,909.7
26409,382.4
81418,568.7
64123,541.1
79956,660.4
17842,297.1
826893,800.7
87228,514.7
103748,316.2
55194,324.3
27500,247.3
637556,1705.1
60743,311.1
137032,379.5
651337,905.1
729268,1167.9
42454,803.2
47621,346.5
139251,356.2
19547,342.8
89083,208.8
126632,170.6
128820,405.2
142320,594.4
641097,1764.0
826987,462.5
57726,369.0
29715,669.7
19372,304.6
27475,276.6
29929,832.0
25914,466.9
110842,237.3
100148,553.2
112779,220.8
376172,376.4
625474,1410.9
309341,198.5
143833,487.4
28437,731.4
24948,308.6
1055918,166.7
25115,493.7
101897,467.1
91279,212.5
323435,199.4
83923,103.7
88299,312.6
35949,890.1
517763,564.0
251523,204.8
140687,370.3
103916,296.4
107103,525.7
49355,474.1
39957,195.2
25664,124.7
33303,345.3
114614,260.0
31610,670.7
235598,251.7
19717,319.5
712209,3029.7
570275,196.7
22600,212.4
127271,522.5
129114,293.5
19783,454.9
72343,425.7
50313,143.1
18702,401.0
149634,258.6
22593,309.8
48251,308.8
30549,605.6
19926,401.5
166742,153.5
16225,295.8
159441,338.7
90650,1027.0
795132,291.1
102067,567.3
30582,474.1
675231,806.5
266623,228.4
279350,268.8
97657,263.2
74271,408.0
102814,699.3
90757,135.5
39293,687.1
105782,230.7
133612,452.8
85951,530.5
261667,171.2
316777,227.6
51566,281.2
33953,332.8
73230,506.6
146556,322.1
215787,293.3
66102,473.5
36662,234.6
16785,613.6
149090,301.8
146422,323.0
20399,416.7
218590,284.1
31747,371.7
561031,403.4
24386,389.6
589400,259.4
18884,503.1
721218,1029.8
29306,170.6
72721,429.0
29830,228.0
785567,685.0
16864,391.4
692346,949.1
66705,430.3
150632,379.7
188117,380.1
1062595,175.3
86211,338.7
781730,1881.1
154882,437.1
23832,411.2
668499,971.9
26236,327.8
205533,317.7
571436,197.9
93504,304.8
77983,510.4
136805,340.6
25674,525.8
78049,1060.9
63271,346.1
118809,589.2
30076,438.9
25822,414.4
134236,548.3
849387,1118.1
149781,391.9
89373,410.6
79721,138.0
841216,893.3
326167,158.5
97068,259.6
32571,426.8
165546,343.7
675500,661.7
37473,232.2
29487,196.7
127509,389.8
987166,182.0
51718,419.6
19915,231.0
797429,2230.8
36701,247.9
999353,187.5
204646,270.7
152067,386.7
249745,277.1
340345,304.4
71977,364.0
26693,299.7
912326,307.0
19147,574.5
52215,294.9
613217,2042.8
77216,304.3
71616,340.7
64974,381.7
20037,329.4
215568,405.0
871606,593.0
82603,431.0
113393,277.8
30647,473.1
116001,542.2
250575,238.7
16647,156.2
27320,464.9
445772,494.4
